Gene	sgRNA	A375_CP0082_repA|beta	A375_CP0082_repA|z	A375_CP0082_repA|p-value	A375_CP0082_repA|fdr	A375_CP0082_repA|wald-p-value	A375_CP0082_repA|wald-fdr	A375_CP0082_repB|beta	A375_CP0082_repB|z	A375_CP0082_repB|p-value	A375_CP0082_repB|fdr	A375_CP0082_repB|wald-p-value	A375_CP0082_repB|wald-fdr
NCAPD3	3	-1.3249	-2.7276	0.1351	0.6318	0.0063802	0.069171	-1.418	-2.9187	0.10841	0.55708	0.0035145	0.042313
TPD52	4	-0.13698	-0.52643	0.89685	0.99448	0.59859	0.75245	-0.16464	-0.63276	0.94091	0.99684	0.52689	0.70661
SLC5A3	3	-0.46235	-1.533	0.68047	0.97772	0.12527	0.48163	-0.2972	-0.98554	0.86882	0.99406	0.32436	0.57831
ENSG00000293606	3	-0.46235	-1.533	0.68047	0.97772	0.12527	0.48163	-0.2972	-0.98554	0.86882	0.99406	0.32436	0.57831
TTLL1	3	0.14232	0.68842	0.42772	0.91271	0.49119	0.68386	0.095341	0.46117	0.51029	0.94857	0.64468	0.78681
ICA1	3	0.067329	0.48561	0.55209	0.95374	0.62724	0.77208	-0.004833	-0.034857	0.68109	0.97595	0.97219	0.98608
MRPL22	3	-2.1809	-3.2516	0.024864	0.26705	0.0011476	0.016811	-2.4409	-3.6201	0.015284	0.20788	0.00029451	0.0054624
ALDH3A2	3	0.55874	1.4587	0.0303	0.29591	0.14464	0.50813	0.11826	0.30873	0.47371	0.93654	0.75753	0.85675
FZD6	3	-0.32906	-1.0771	0.828	0.99065	0.28144	0.56618	-0.1557	-0.50973	0.92821	0.9968	0.61024	0.76488
ENSG00000288645	3	-0.6531	-0.88035	0.50771	0.94049	0.37867	0.61235	-0.6613	-0.89154	0.50348	0.94724	0.37264	0.60516
LOC128092252	3	-0.6531	-0.88035	0.50771	0.94049	0.37867	0.61235	-0.6613	-0.89154	0.50348	0.94724	0.37264	0.60516
TRPM7	6	-1.1873	-2.7387	0.18376	0.71018	0.0061688	0.067368	-1.1873	-2.7392	0.18554	0.70829	0.0061583	0.065749
LOC54822	3	-0.6531	-0.88035	0.50771	0.94049	0.37867	0.61235	-0.6613	-0.89154	0.50348	0.94724	0.37264	0.60516
CCDC181	3	-1.1701	-2.2187	0.19103	0.71703	0.026508	0.1985	-1.2922	-2.4499	0.14602	0.64066	0.014289	0.12521
ZNF181	3	-0.085222	-0.74738	0.81272	0.99031	0.45483	0.6594	0.094405	0.82796	0.51167	0.94899	0.40769	0.62694
PARP9	3	-0.30341	-1.1173	0.86106	0.99296	0.26386	0.55904	-0.32165	-1.1845	0.83856	0.99157	0.23622	0.5477
BMP2K	3	0.11615	0.58125	0.4713	0.92985	0.56107	0.72804	-0.051277	-0.25661	0.76032	0.98718	0.79748	0.88112
MAX	3	-4.012	-6.0219	0.0012031	0.080882	1.7241e-09	2.8963e-07	-3.8929	-5.8447	0.0016933	0.091362	5.0742e-09	7.162e-07
ABCB4	3	-0.19454	-0.53345	0.98565	0.99847	0.59373	0.7494	-0.21285	-0.58365	0.98579	0.99901	0.55946	0.72873
RLIM	3	-0.36859	-1.8839	0.7793	0.98714	0.059574	0.32809	-0.30053	-1.5361	0.86481	0.99406	0.12452	0.48346
FAM199X	3	-0.10753	-0.90449	0.84939	0.99296	0.36573	0.60431	0.072894	0.61317	0.54812	0.95777	0.53976	0.7152
OR9A4	3	-0.45262	-1.4963	0.68947	0.97844	0.13458	0.49589	-0.34933	-1.1549	0.80528	0.98895	0.24814	0.55028
SLITRK2	3	0.37251	1.1924	0.13497	0.63164	0.23312	0.55159	0.26575	0.85063	0.24958	0.78248	0.39497	0.61896
OR4F15	3	-0.35295	-1.1704	0.7989	0.99031	0.24186	0.55285	-0.36375	-1.2062	0.78857	0.98817	0.22774	0.54594
ALG8	3	-0.50115	-1.6065	0.63974	0.97518	0.10817	0.45587	-0.72705	-2.3306	0.45219	0.92693	0.019775	0.15929
ZNF233	3	-0.40604	-2.188	0.7383	0.98491	0.028672	0.20953	-0.056066	-0.30211	0.76687	0.98718	0.76257	0.85967
USP42	3	-0.38347	-1.5311	0.76317	0.98553	0.12573	0.48251	-0.17426	-0.69607	0.95647	0.99796	0.48638	0.67891
PWWP3B	3	0.30328	1.2274	0.20386	0.73225	0.21966	0.55021	0.2681	1.0851	0.24668	0.7784	0.2779	0.55934
TTC21B	3	0.17874	1.0398	0.37113	0.88409	0.29845	0.57261	-0.10395	-0.60471	0.84636	0.99232	0.54537	0.71894
TRIO	3	0.12675	0.52968	0.45299	0.92361	0.59633	0.75117	-0.11	-0.45961	0.85674	0.99406	0.6458	0.78752
TRNT1	3	-3.7101	-5.7134	0.0015596	0.081466	1.1075e-08	1.3508e-06	-3.5553	-5.4772	0.002228	0.091362	4.3212e-08	4.1219e-06
IRF2	3	0.50621	1.2731	0.047812	0.3761	0.20298	0.54282	0.25885	0.65096	0.25991	0.79512	0.51507	0.69859
FKBP14	3	-0.35495	-1.2088	0.79574	0.98969	0.22673	0.55116	-0.37216	-1.2675	0.7789	0.98735	0.20498	0.54188
CAMSAP2	3	-0.49505	-1.7152	0.64584	0.97552	0.086303	0.40677	-0.058825	-0.2039	0.77159	0.98728	0.83843	0.90697
CRYL1	3	0.34818	1.1213	0.15876	0.67277	0.26214	0.55829	0.21599	0.69562	0.31909	0.84624	0.48667	0.67917
NEU1	3	0.27903	1.7236	0.23327	0.77002	0.084779	0.40318	0.050657	0.31289	0.58546	0.96271	0.75436	0.85536
C4orf36	3	-0.19951	-0.66444	0.99274	0.99915	0.50641	0.69361	0.11773	0.3922	0.4746	0.93654	0.69491	0.81826
SF3B6	3	-3.9014	-5.5278	0.0012477	0.080882	3.2427e-08	3.323e-06	-4.188	-5.9051	0.0012477	0.091362	3.5245e-09	5.4175e-07
FBXL5	3	-0.33355	-1.0114	0.8227	0.99065	0.31181	0.57888	-0.47549	-1.4416	0.66687	0.97444	0.14942	0.51335
FAM135B	3	-0.088012	-0.52688	0.81682	0.99031	0.59827	0.75245	0.246	1.4729	0.27734	0.81285	0.14079	0.5051
ANKHD1	3	-0.56184	-1.3533	0.58301	0.96015	0.17595	0.53067	-0.25627	-0.61887	0.92679	0.9968	0.536	0.7127
ANKHD1-EIF4EBP3	4	-0.65675	-2.0261	0.50472	0.93945	0.042759	0.26902	-0.34176	-1.0565	0.81454	0.98905	0.29075	0.56358
ANKRD49	3	-2.4122	-3.4073	0.015016	0.19976	0.00065597	0.010508	-2.0866	-2.9762	0.029587	0.29736	0.0029187	0.036614
TTL	3	-0.57505	-1.3568	0.57245	0.95825	0.17485	0.53036	-0.5756	-1.3582	0.57553	0.96024	0.17441	0.53095
FAM83D	3	-0.13398	-1.1738	0.89279	0.99448	0.24047	0.55285	-0.14711	-1.2889	0.9156	0.99668	0.19744	0.53965
CPXCR1	3	-0.30174	-0.94261	0.86369	0.99296	0.34588	0.593	-0.46056	-1.4386	0.68283	0.97614	0.15027	0.51335
GPA33	3	-0.53013	-1.3271	0.61242	0.97074	0.18448	0.53592	-0.71588	-1.7913	0.46039	0.92895	0.073251	0.3733
HMGCS1	3	-2.5005	-3.5589	0.012744	0.18464	0.00037234	0.0065745	-4.7817	-6.5977	0.00080207	0.091362	4.1762e-11	2.0374e-08
CCT4	3	-3.8919	-5.6515	0.0012922	0.080882	1.5909e-08	1.8123e-06	-4.8058	-6.9563	0.00080207	0.091362	3.4937e-12	2.7114e-09
LOC105373146	2	0.58621	1.1795	0.024062	0.2629	0.23819	0.55279	0.29711	0.5978	0.21028	0.73789	0.54997	0.72178
LARP4B	3	0.10013	0.83784	0.49737	0.93651	0.40212	0.62559	0.10415	0.87141	0.49648	0.94703	0.38353	0.61139
GCNT4	3	-0.069915	-0.56416	0.78763	0.98871	0.57264	0.73549	0.15646	1.2625	0.41231	0.91319	0.20677	0.54188
SETX	3	-0.25908	-0.75435	0.92251	0.99604	0.45064	0.6568	-0.45938	-1.3371	0.68358	0.97614	0.1812	0.53351
SIRT1	3	0.13494	0.88159	0.44038	0.91975	0.378	0.61192	-0.26469	-1.7292	0.91405	0.99668	0.083777	0.40386
ABCC9	3	0.05755	0.40164	0.56804	0.95824	0.68795	0.81095	0.10454	0.72958	0.49559	0.94664	0.46565	0.66539
USP24	3	-0.73153	-1.6808	0.44827	0.92261	0.092796	0.42173	-1.0977	-2.5201	0.22529	0.75474	0.011732	0.10839
CGAS	3	-0.1021	-0.70275	0.83976	0.99268	0.48221	0.67783	-0.12265	-0.84426	0.87679	0.99434	0.39853	0.62101
SFT2D1	3	0.44757	1.4987	0.077756	0.48689	0.13396	0.49488	0.15508	0.51927	0.41418	0.91319	0.60358	0.76038
CABLES1	3	0.58353	1.3333	0.02473	0.26606	0.18245	0.53481	0.40852	0.9334	0.10418	0.54393	0.35061	0.59099
ASPM	3	-0.86116	-1.9825	0.35835	0.87661	0.047426	0.28558	-0.90463	-2.0825	0.33201	0.85647	0.037293	0.24761
MMS22L	3	-4.4092	-6.1874	0.0010249	0.080882	6.1176e-10	1.3201e-07	-5.1682	-7.2485	0.00062383	0.091362	4.214e-13	4.2987e-10
OR51D1	3	0.52334	1.3985	0.041217	0.34605	0.16196	0.52268	0.37388	0.9991	0.13368	0.61731	0.31775	0.57529
SYCP1	3	-0.48002	-1.3224	0.66122	0.97581	0.18604	0.53657	-0.44489	-1.2257	0.699	0.97885	0.22031	0.5448
MMGT1	3	-0.97458	-1.6767	0.28892	0.82316	0.09361	0.42365	-1.5593	-2.6746	0.080831	0.48335	0.0074816	0.076668
PGAP1	3	-0.079807	-0.39097	0.80412	0.99031	0.69582	0.81646	0.015789	0.077359	0.64584	0.97289	0.93834	0.96676
CGRRF1	3	-0.34589	-1.2199	0.80746	0.99031	0.2225	0.55116	-0.60928	-2.1487	0.54817	0.95777	0.03166	0.22114
MAST4	3	0.14036	0.67722	0.43102	0.9157	0.49827	0.68821	0.1146	0.55292	0.48026	0.94054	0.58032	0.74378
TMEM60	3	-0.34019	-1.3565	0.81405	0.99031	0.17493	0.53038	-0.13881	-0.55379	0.90206	0.99577	0.57973	0.74345
TTC14	3	-1.1192	-1.6898	0.21366	0.74723	0.091061	0.41799	-0.99137	-1.5002	0.27983	0.81507	0.13357	0.49579
DSEL	3	0.21079	0.80564	0.32252	0.84742	0.42045	0.63806	0.21154	0.80852	0.32519	0.85187	0.41879	0.63452
USH1C	3	0.29738	0.9407	0.21134	0.7442	0.34686	0.59336	0.41761	1.321	0.097585	0.5291	0.1865	0.53583
ZBED4	3	0.072673	0.46099	0.54264	0.95155	0.64481	0.78431	0.051426	0.32621	0.58368	0.96154	0.74426	0.84989
DGKK	3	-0.23483	-0.46938	0.95664	0.99681	0.6388	0.77997	-0.21956	-0.43889	0.97719	0.99823	0.66074	0.79658
EIF2B3	3	-4.8163	-5.5259	0.00075751	0.080882	3.2788e-08	3.3296e-06	-3.1581	-3.9488	0.0035202	0.099626	7.8532e-05	0.001869
ITLN1	3	0.28319	1.0101	0.22783	0.76154	0.31244	0.57888	0.17425	0.62153	0.38303	0.89555	0.53425	0.7118
ENPP5	3	-0.59206	-1.5642	0.55864	0.95487	0.11776	0.47219	-0.44185	-1.1676	0.70225	0.98035	0.24297	0.54863
GNL2	3	-4.2925	-5.96	0.0010249	0.080882	2.5228e-09	3.8778e-07	-3.4902	-4.9091	0.0023171	0.091362	9.148e-07	5.1454e-05
OXA1L	3	-2.1285	-2.911	0.026869	0.27623	0.0036027	0.043562	-2.0642	-2.8277	0.031281	0.30736	0.004688	0.053378
AMFR	3	0.47674	0.99376	0.061046	0.42533	0.32034	0.58106	0.57472	1.198	0.027716	0.28783	0.23092	0.54616
HIPK1	3	0.10258	0.48986	0.49349	0.93651	0.62423	0.77011	0.108	0.51577	0.48944	0.94349	0.60602	0.76256
UGT2B17	3	0.34324	1.0647	0.16278	0.68037	0.287	0.56805	0.40834	1.2666	0.10427	0.54393	0.20528	0.54188
RNF180	3	0.16865	0.46859	0.38535	0.88875	0.63936	0.78028	0.056839	0.15791	0.57455	0.96024	0.87452	0.92882
NOL9	3	-2.6153	-3.462	0.01007	0.16448	0.00053608	0.0088853	-2.5612	-3.3976	0.012165	0.18483	0.00067979	0.010962
DDIT4L	3	0.71962	1.1475	0.0064611	0.12532	0.25116	0.55363	0.6139	0.97894	0.018537	0.2324	0.32761	0.57908
CLCN3	3	-0.48161	-2.0046	0.65948	0.97563	0.045009	0.27704	-0.36286	-1.5105	0.78968	0.98829	0.13091	0.49204
HEATR3	3	-2.6635	-3.5815	0.0089564	0.15158	0.00034167	0.0061489	-2.5522	-3.4415	0.01261	0.1893	0.00057847	0.0095526
NFKB1	3	-0.41617	-1.3354	0.72609	0.98293	0.18173	0.53428	-0.78068	-2.505	0.41476	0.91319	0.012247	0.11188
MAP3K7	3	-0.80566	-2.4959	0.39658	0.89583	0.012564	0.11705	-0.57995	-1.7976	0.57125	0.96024	0.072233	0.37087
PDLIM3	3	-0.24928	-1.2442	0.93579	0.99604	0.21342	0.54656	-0.26686	-1.332	0.91146	0.99668	0.18286	0.53441
ADAM22	3	0.025654	0.33393	0.6237	0.97215	0.73843	0.84404	0.088857	1.1567	0.52103	0.95111	0.24741	0.55027
DYDC1	3	-0.30907	-1.0309	0.85402	0.99296	0.30259	0.57488	-0.09079	-0.30287	0.82502	0.98979	0.76199	0.85937
PTPN11	2	-1.5919	-1.8643	0.076508	0.48244	0.062277	0.33604	-1.1866	-1.3935	0.1859	0.70833	0.16346	0.52451
KRCC1	3	0.45225	0.99725	0.075172	0.47711	0.31864	0.58044	0.41467	0.91438	0.099768	0.53335	0.36052	0.59728
GMPS	3	-3.171	-4.3045	0.0032083	0.090123	1.674e-05	0.00051818	-2.9614	-4.0311	0.0046342	0.10959	5.5527e-05	0.0014209
KNL1	3	-1.2434	-2.2785	0.16153	0.6782	0.022697	0.17944	-1.3149	-2.4095	0.13952	0.62935	0.015976	0.13632
KMT2C	3	-0.89115	-1.6534	0.3399	0.86368	0.098246	0.43551	-1.1307	-2.0951	0.21019	0.73772	0.036162	0.24254
FUT8	3	0.0057335	0.029517	0.65689	0.97552	0.97645	0.98866	0.12705	0.65405	0.45918	0.92895	0.51308	0.69712
RSPH6A	3	-0.16062	-0.69899	0.9337	0.99604	0.48456	0.67904	-0.40127	-1.746	0.74762	0.98718	0.080802	0.39598
CER1	3	0.027652	0.09607	0.61964	0.97089	0.92346	0.95942	0.0564	0.19596	0.57539	0.96024	0.84464	0.91047
CRLS1	3	-1.0733	-1.9819	0.23447	0.7704	0.04749	0.28581	-1.4947	-2.7545	0.091926	0.51562	0.0058785	0.063579
CNTLN	3	-0.60367	-1.7129	0.54902	0.95304	0.086728	0.40771	-0.66261	-1.8801	0.50258	0.94724	0.060088	0.33379
RRH	3	0.50162	1.4899	0.049728	0.38298	0.13624	0.49749	0.29498	0.87616	0.21353	0.74157	0.38094	0.61062
PNO1	3	-3.0675	-4.4892	0.0038321	0.096346	7.1505e-06	0.00026051	-3.5145	-5.1049	0.0023171	0.091362	3.3097e-07	2.1041e-05
TTPA	3	0.31094	1.343	0.19548	0.72214	0.17929	0.53264	0.19225	0.83029	0.35429	0.87364	0.40637	0.62612
TRIP4	3	-0.48041	-1.3508	0.66099	0.97581	0.17676	0.5308	-0.64738	-1.8202	0.51439	0.94911	0.068727	0.36054
PAGE2B	3	0.024836	0.15179	0.62499	0.97221	0.87935	0.93298	0.0015438	0.0094358	0.67026	0.97444	0.99247	0.99642
POLI	3	0.13069	0.30744	0.44684	0.92245	0.75851	0.85668	-0.15122	-0.35538	0.92207	0.99668	0.7223	0.8365
TMEM266	3	-0.6514	-1.3375	0.50913	0.94128	0.18105	0.53371	-0.48042	-0.98773	0.66135	0.97408	0.32328	0.57826
MYBPHL	3	-0.50576	-2.5226	0.63528	0.97504	0.011649	0.11045	-0.17938	-0.89474	0.96458	0.99823	0.37093	0.60385
OR4C45	3	-0.47993	-1.1181	0.6613	0.97581	0.26354	0.55904	-0.24474	-0.57063	0.94216	0.99713	0.56825	0.73524
MATN4	3	0.0080695	0.078035	0.65324	0.97552	0.9378	0.967	0.039232	0.37939	0.60614	0.96937	0.7044	0.8241
ANKRD30BL	2	-0.29564	-0.76606	0.87127	0.99296	0.44364	0.6524	-0.39037	-1.0115	0.75889	0.98718	0.31178	0.57178
ANKRD30BP2	1	-1.0042	-1.2554	0.27154	0.80921	0.20933	0.54517	-0.70131	-0.87674	0.47157	0.93565	0.38063	0.61055
CMIP	3	-0.022671	-0.14591	0.70649	0.97974	0.88399	0.93587	0.046818	0.30134	0.59286	0.96565	0.76316	0.85999
DCAKD	3	0.045768	0.28612	0.58934	0.9628	0.77479	0.86679	0.050426	0.31525	0.58609	0.96296	0.75257	0.8542
IMPDH2	4	-3.7343	-6.2636	0.0014705	0.080882	3.7614e-10	9.2762e-08	-4.0568	-6.7599	0.0012922	0.091362	1.381e-11	8.156e-09
ARHGAP17	3	-0.84607	-1.3878	0.36882	0.88297	0.1652	0.52595	-1.0142	-1.6631	0.26785	0.80254	0.096301	0.43131
TMEM132D	3	-0.49656	-1.5754	0.6441	0.97552	0.11516	0.46739	-0.2888	-0.91657	0.88143	0.99533	0.35937	0.59645
ELP3	3	-4.963	-6.0462	0.00075751	0.080882	1.483e-09	2.6414e-07	-3.2962	-4.2759	0.0028964	0.092643	1.9036e-05	0.00059089
URAD	3	0.41898	1.1448	0.096471	0.53656	0.2523	0.55405	0.43547	1.1898	0.085465	0.49586	0.23411	0.54732
OR7G1	3	-0.20563	-0.72669	0.99853	0.9996	0.46741	0.66741	-0.4093	-1.4462	0.73821	0.98684	0.14812	0.51237
GNRHR	3	-0.18736	-0.81599	0.97398	0.99795	0.41451	0.63431	0.091424	0.39821	0.51702	0.9506	0.69048	0.81517
QSER1	3	-0.12586	-0.54702	0.87956	0.99329	0.58436	0.74289	0.21725	0.94436	0.31704	0.84401	0.34499	0.58785
CHS.123680	3	-1.1544	-2.0788	0.19802	0.72545	0.037635	0.24871	-1.3198	-2.3757	0.138	0.62642	0.017516	0.14565
XPR1	3	0.022084	0.10203	0.62944	0.97408	0.91873	0.95636	-0.22355	-1.0327	0.9717	0.99823	0.30173	0.56741
BPIFA2	3	0.23051	0.61722	0.29489	0.82758	0.53709	0.71305	0.15369	0.41148	0.41574	0.91319	0.68072	0.80901
RFX7	3	-0.18606	-0.81485	0.97215	0.99795	0.41516	0.63473	-0.32335	-1.4159	0.83678	0.99129	0.1568	0.51965
HMGCS2	3	-0.67029	-1.4176	0.4943	0.93651	0.1563	0.51796	-0.42695	-0.90317	0.71888	0.98331	0.36643	0.60125
LOC124900661	1	-1.1	-1.2828	0.22275	0.75857	0.19957	0.54064	-0.81048	-0.94512	0.39462	0.90305	0.3446	0.58758
ELOA2	3	-0.15808	-0.42739	0.93022	0.99604	0.66909	0.79978	-0.36713	-0.99239	0.78402	0.98772	0.32101	0.57713
RRAGA	3	-1.4903	-2.4095	0.093664	0.5281	0.015972	0.13954	-2.1307	-3.4319	0.02727	0.28518	0.0005993	0.0098459
FEZ1	3	-0.17079	-1.0385	0.95005	0.99664	0.29902	0.5728	-0.028454	-0.17303	0.7215	0.98331	0.86263	0.92119
BZW1	3	0.35137	1.1476	0.15627	0.67061	0.25114	0.55363	0.17998	0.58778	0.37412	0.88753	0.55668	0.72664
TUBGCP2	3	-2.6849	-3.9081	0.0085554	0.14838	9.3032e-05	0.0021004	-2.1733	-3.1655	0.025221	0.27529	0.0015481	0.021633
COX7B	2	-1.5135	-2.3574	0.089029	0.51719	0.018403	0.15497	-1.6231	-2.5282	0.070983	0.45632	0.011465	0.10664
FAM169A	3	-0.7343	-1.7394	0.44671	0.92245	0.081965	0.39541	-0.82559	-1.9555	0.38388	0.89618	0.05053	0.3
NUDT5	3	0.0018056	0.0087747	0.66358	0.97594	0.993	0.99669	-0.022817	-0.11089	0.71246	0.98182	0.91171	0.95127
SLC7A6	3	-0.38814	-1.4018	0.75755	0.98491	0.16096	0.52202	-0.062939	-0.22733	0.7789	0.98735	0.82017	0.89475
GABRB1	3	0.31183	1.4114	0.1941	0.72044	0.15813	0.51957	-0.04721	-0.21365	0.75377	0.98718	0.83082	0.90152
ASTE1	3	-0.31034	-1.3304	0.85269	0.99296	0.1834	0.53531	-0.33298	-1.4274	0.82457	0.98968	0.15346	0.51704
SLC8A3	3	0.33353	1.3141	0.1724	0.69618	0.1888	0.53677	0.072876	0.28712	0.54812	0.95777	0.77402	0.86671
OCLN	3	-0.08183	-0.30841	0.80755	0.99031	0.75777	0.85625	-0.18513	-0.69769	0.97264	0.99823	0.48537	0.67797
DEFB115	3	-0.16525	-0.64672	0.9406	0.99604	0.51782	0.69995	-0.25166	-0.98484	0.93267	0.99684	0.3247	0.57833
AOAH	3	0.18608	0.56237	0.36035	0.87787	0.57387	0.73656	0.23902	0.7224	0.28767	0.822	0.47005	0.66856
ZFAND2B	3	0.4375	1.26	0.084707	0.50761	0.20768	0.54493	0.40773	1.1742	0.1048	0.54571	0.24031	0.54851
OPN1MW2	3	0.2476	1.2648	0.27261	0.8099	0.20593	0.54479	0.21283	1.0872	0.32363	0.85029	0.27694	0.559
OPN1MW	3	0.2476	1.2648	0.27261	0.8099	0.20593	0.54479	0.21283	1.0872	0.32363	0.85029	0.27694	0.559
OPN1MW3	3	0.2476	1.2648	0.27261	0.8099	0.20593	0.54479	0.21283	1.0872	0.32363	0.85029	0.27694	0.559
GPR155	3	-0.15701	-0.44264	0.92862	0.99604	0.65803	0.79246	-0.031492	-0.088817	0.72645	0.98397	0.92923	0.96082
ASCC3	3	-2.0626	-2.6712	0.030033	0.29458	0.0075581	0.079002	-2.5343	-3.2574	0.012878	0.19114	0.0011244	0.016503
STRIP2	3	-0.26751	-0.86293	0.91249	0.99594	0.38818	0.61721	-0.32373	-1.0443	0.83624	0.99108	0.29636	0.56553
NUGGC	3	-0.02265	-0.1101	0.70644	0.97974	0.91233	0.95274	-0.10333	-0.50226	0.84551	0.99231	0.61549	0.76842
CHMP4C	3	0.022463	0.085909	0.62887	0.97406	0.93154	0.96366	-0.10596	-0.40519	0.84988	0.99297	0.68534	0.81184
DNAJC17	3	-3.1128	-4.3066	0.0034756	0.091335	1.658e-05	0.00051392	-2.8909	-4.0093	0.0053917	0.11782	6.0897e-05	0.0015151
CSTA	3	-0.064531	-0.21385	0.77805	0.98714	0.83066	0.90305	-0.14079	-0.46655	0.90518	0.99661	0.64082	0.78458
DKC1	3	-5.0441	-6.6531	0.00071295	0.080882	2.87e-11	1.2629e-08	-3.5981	-4.8819	0.0020943	0.091362	1.0507e-06	5.7371e-05
OLFM1	3	-0.041748	-0.2077	0.74004	0.98491	0.83546	0.9056	0.10293	0.51215	0.49813	0.94703	0.60854	0.76429
ODF2	3	-0.29898	-1.1034	0.86739	0.99296	0.26984	0.56124	-0.36259	-1.3382	0.78986	0.98829	0.18082	0.53348
DEFB116	3	-0.046566	-0.2969	0.74753	0.98491	0.76655	0.8618	-0.098739	-0.62954	0.83785	0.99156	0.529	0.70808
MS4A14	3	0.18268	1.3757	0.36543	0.88006	0.16893	0.52794	0.11001	0.82841	0.48645	0.94226	0.40744	0.6268
EMB	3	-0.068681	-0.30026	0.78518	0.98795	0.76398	0.86041	-0.004755	-0.02079	0.68096	0.97595	0.98341	0.99159
FANCD2	3	-0.55741	-2.3057	0.5864	0.96103	0.021128	0.17043	-0.32441	-1.342	0.83544	0.99107	0.17961	0.53261
FGF11	3	0.1975	0.54352	0.34346	0.86585	0.58677	0.74419	0.46834	1.289	0.069022	0.45293	0.1974	0.53965
GNGT2	3	-0.41896	-2.1254	0.72306	0.9824	0.033552	0.23141	-0.12907	-0.65482	0.88624	0.99542	0.51259	0.6968
PLPPR5	3	0.018998	0.13731	0.63444	0.97496	0.89079	0.93947	0.12367	0.89382	0.46489	0.93221	0.37142	0.60435
PTCHD1	3	0.051469	0.17319	0.57842	0.95825	0.8625	0.9223	-0.19069	-0.64155	0.98146	0.99823	0.52116	0.70263
NDUFB5	5	-0.54059	-1.9188	0.60289	0.96788	0.055006	0.31387	-0.5697	-2.0222	0.58016	0.9605	0.043159	0.27183
ENSG00000288698	3	-0.2685	-1.1287	0.91106	0.99594	0.25901	0.557	-0.097707	-0.41083	0.83616	0.99107	0.6812	0.80916
MCM7	3	-3.2119	-4.0414	0.0031192	0.090123	5.3122e-05	0.0013202	-3.1406	-3.9719	0.0036539	0.10037	7.1306e-05	0.0017319
P2RX4	3	-0.033185	-0.192	0.72534	0.98293	0.84774	0.91313	-0.063878	-0.36958	0.78099	0.98772	0.7117	0.82945
INSR	3	-0.27621	-1.1002	0.90041	0.99489	0.27126	0.56144	-0.10386	-0.41372	0.84631	0.99232	0.67908	0.80819
SLIT2	3	-0.40344	-1.929	0.74111	0.98491	0.053735	0.30953	-0.19102	-0.91332	0.98182	0.99823	0.36107	0.59777
CCNG2	3	-0.094331	-0.41822	0.82711	0.99065	0.67579	0.80328	0.037839	0.16776	0.60895	0.97032	0.86677	0.92361
BTK	3	0.21958	0.98792	0.3104	0.83886	0.32319	0.58233	0.28298	1.2732	0.22832	0.75799	0.20296	0.54188
SAMSN1	3	0.22648	0.95237	0.2998	0.82955	0.34091	0.59108	0.14925	0.62762	0.42287	0.91488	0.53025	0.70911
QPCTL	3	-0.57833	-1.5299	0.56987	0.95825	0.12604	0.4832	-0.49759	-1.3164	0.64611	0.97289	0.18803	0.53658
HIKESHI	3	-2.2643	-4.0165	0.020453	0.23721	5.906e-05	0.0014329	-2.2519	-3.9949	0.022235	0.26055	6.4728e-05	0.0015945
POU6F2	3	-1.0264	-2.3415	0.26023	0.7964	0.019207	0.15997	-0.77495	-1.769	0.41881	0.91368	0.076902	0.38379
COG5	3	-2.3295	-3.485	0.017913	0.21872	0.00049212	0.0082869	-1.9504	-2.946	0.038366	0.3414	0.003219	0.039369
DRC3	3	0.1843	0.87836	0.36316	0.87886	0.37975	0.61261	0.29136	1.3886	0.21772	0.74573	0.16496	0.52505
FOXP4	3	0.37802	1.0665	0.12953	0.61667	0.28619	0.56743	0.35325	0.99664	0.15266	0.65401	0.31894	0.57612
DNAAF2	3	0.21129	0.95362	0.32194	0.84723	0.34028	0.59083	-0.04377	-0.19755	0.74802	0.98718	0.8434	0.90968
PLIN2	3	0.25195	0.78585	0.267	0.80408	0.43196	0.64549	0.47835	1.4921	0.063497	0.43792	0.13568	0.49937
GDF3	3	-0.16408	-0.79893	0.93895	0.99604	0.42433	0.64049	-0.41822	-2.0358	0.72779	0.98397	0.041771	0.26639
ERI2	3	-0.098204	-0.43751	0.8337	0.99147	0.66174	0.79471	-0.29755	-1.3255	0.86833	0.99406	0.18499	0.53528
KRT5	3	-0.66559	-2.2863	0.49755	0.93651	0.022239	0.17699	-0.41455	-1.424	0.73193	0.98524	0.15444	0.51768
NAPA	3	-3.4541	-4.7245	0.0020943	0.086081	2.3069e-06	0.00010544	-3.8591	-5.2386	0.0016933	0.091362	1.6179e-07	1.1983e-05
NAPA-AS1	1	-2.9788	-2.1991	0.0045896	0.10457	0.027869	0.2054	-4.6651	-3.4461	0.00080207	0.091362	0.00056867	0.0094047
EVX1	3	0.31299	0.95734	0.19259	0.7187	0.33839	0.59007	0.3268	0.9996	0.17948	0.70373	0.3175	0.57525
CTDSPL	3	0.0050254	0.030597	0.65823	0.97552	0.97559	0.9882	-0.068896	-0.41946	0.78928	0.98829	0.67488	0.80583
MRPL14	3	-1.2635	-2.4116	0.15484	0.66814	0.015883	0.13886	-1.2483	-2.3833	0.16179	0.67266	0.017158	0.14346
GBA1	3	0.066867	0.33232	0.55289	0.95374	0.73965	0.845	0.063993	0.31804	0.56261	0.95922	0.75045	0.85323
