Gene	sgRNA	A375_CP0082_repA|beta	A375_CP0082_repA|z	A375_CP0082_repA|p-value	A375_CP0082_repA|fdr	A375_CP0082_repA|wald-p-value	A375_CP0082_repA|wald-fdr	A375_CP0082_repB|beta	A375_CP0082_repB|z	A375_CP0082_repB|p-value	A375_CP0082_repB|fdr	A375_CP0082_repB|wald-p-value	A375_CP0082_repB|wald-fdr
ENSG00000267385	3	0.298	1.0553	0.21041	0.74175	0.29128	0.56905	0.20592	0.72919	0.33317	0.85814	0.46588	0.66557
ABCD4	3	0.0028628	0.014009	0.66171	0.97589	0.98882	0.99503	-0.061993	-0.30336	0.77711	0.98728	0.76162	0.85916
GPRC6A	3	0.28564	1.4464	0.22543	0.76004	0.14806	0.51206	0.042961	0.21755	0.59977	0.96895	0.82778	0.89966
CLDND1	3	-0.15671	-0.67521	0.92835	0.99604	0.49954	0.68923	-0.21789	-0.93877	0.97937	0.99823	0.34785	0.58952
DUOX2	3	-0.75714	-1.5615	0.42986	0.91449	0.11841	0.47351	-1.1412	-2.3505	0.20546	0.73374	0.018747	0.15321
PXMP2	3	-0.0017076	-0.012522	0.6699	0.97597	0.99001	0.99549	-0.052741	-0.38674	0.76214	0.98718	0.69895	0.82095
LPA	3	-1.1274	-1.779	0.21036	0.74175	0.075244	0.37722	-1.332	-2.0998	0.13377	0.61731	0.035751	0.24065
GNA13	3	-1.2	-2.7052	0.17842	0.70344	0.006827	0.072854	-0.74822	-1.6883	0.43762	0.92026	0.09135	0.42133
HCN2	3	-0.70694	-1.7822	0.46667	0.92895	0.074711	0.37551	-0.73509	-1.8532	0.44675	0.92467	0.063851	0.34512
RFX5	3	0.33605	1.1024	0.17004	0.69186	0.27031	0.56136	0.16318	0.53527	0.40081	0.90611	0.59246	0.75173
MAPK15	3	0.25712	0.89319	0.25965	0.79582	0.37176	0.60716	0.3834	1.3319	0.12481	0.59876	0.1829	0.53441
ATP6V1D	3	-2.7173	-4.0604	0.0077088	0.13774	4.8999e-05	0.0012383	-2.3737	-3.558	0.017378	0.22438	0.00037366	0.006629
ZNF18	3	0.1157	0.83802	0.47197	0.92985	0.40202	0.62559	0.094097	0.68157	0.5123	0.94899	0.49551	0.68525
FATE1	3	-0.32419	-1.4742	0.83406	0.99147	0.14043	0.50384	-0.024818	-0.11289	0.71598	0.98281	0.91012	0.95037
