id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
GK5	3	0.67196	0.43613	0.748241	13164	1	-0.010099	0.73604	0.852	1.0	14738	1	-0.010099
AKAP14	3	0.67206	0.43613	0.748241	13165	1	0.14709	0.72504	0.84369	1.0	14552	1	0.14709
ENSG00000259371	3	0.67208	0.43613	0.748241	13166	1	0.72041	0.055371	0.19481	1.0	3350	2	0.72041
SLC5A1	3	0.67212	0.43613	0.748241	13167	1	-0.18546	0.70165	0.81972	1.0	14193	1	-0.18546
GPR151	3	0.67217	0.43613	0.748241	13168	1	-0.060049	0.81707	0.90967	1.0	16364	0	-0.060049
PRG3	3	0.67233	0.43613	0.748241	13169	1	0.57237	0.12414	0.32522	1.0	5182	2	0.57237
BBS4	3	0.67237	0.43613	0.748241	13170	1	-0.19691	0.84482	0.93066	1.0	16920	0	-0.19691
LOX	3	0.67252	0.43613	0.748241	13171	1	-0.0085676	0.72467	0.84369	1.0	14545	1	-0.0085676
TSPYL6	3	0.67254	0.43613	0.748241	13172	1	0.57705	0.14132	0.35012	1.0	5645	2	0.57705
OR2A14	3	0.67256	0.43613	0.748241	13173	1	0.60681	0.055098	0.19481	1.0	3341	2	0.60681
LOC441081	1	0.67268	0.57142	0.859502	13174	0	0.35905	0.32732	0.42858	1.0	9711	1	0.35905
AEBP1	3	0.67268	0.43613	0.748241	13175	1	0.0926	0.45151	0.65357	1.0	10953	1	0.0926
RAVER1	6	0.67283	0.45467	0.76657	13176	1	0.15764	0.11129	0.43948	1.0	4836	3	0.15764
Pseudogene_359	3	0.67286	0.43702	0.749699	13177	1	-0.13727	0.5191	0.69727	1.0	11687	1	-0.13727
CCL5	3	0.67293	0.4379	0.750297	13178	1	0.10351	0.72571	0.84369	1.0	14561	1	0.10351
ZBED3	3	0.67297	0.4379	0.750297	13179	1	0.39185	0.1556	0.36056	1.0	5971	2	0.39185
AZIN2	3	0.67302	0.4379	0.750297	13180	1	0.33428	0.29786	0.58276	1.0	9355	2	0.33428
CHRNA7	3	0.67306	0.4379	0.750297	13181	1	-0.076886	0.86934	0.94184	1.0	17411	0	-0.076886
FOXN2	3	0.67308	0.4379	0.750297	13182	1	0.10579	0.80121	0.89992	1.0	16038	0	0.10579
WNK4	3	0.67316	0.4379	0.750297	13183	1	0.042629	0.66554	0.79025	1.0	13637	1	0.042629
CHEK2	3	0.67318	0.4379	0.750297	13184	1	-0.22962	0.82825	0.91496	1.0	16592	0	-0.22962
PLXNB1	3	0.6732	0.4379	0.750297	13185	1	-0.14533	0.88246	0.94903	1.0	17674	0	-0.14533
