id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Cd248	20	0.0038524	0.027538	0.731199	100	15	-4.2387	0.97106	0.95867	0.99197	2756	0	-4.2387
Adcy2	20	0.0038584	0.02756	0.731199	101	11	-3.966	0.69343	0.62508	0.920871	1920	0	-3.966
Ddr1	20	0.0039483	0.02809	0.731199	102	15	-4.2043	0.83035	0.79106	0.963878	2340	0	-4.2043
Tmem255b	20	0.004025	0.028617	0.731199	103	14	-4.4415	0.75059	0.69361	0.936914	2107	0	-4.4415
Gsg1	20	0.004036	0.028835	0.731199	104	10	-3.8419	0.36392	0.33433	0.890629	1042	0	-3.8419
Megf9	20	0.0041157	0.02926	0.731199	105	16	-4.2638	0.52869	0.47244	0.911088	1476	0	-4.2638
Gprc5c	20	0.0041396	0.029383	0.731199	106	14	-4.1488	0.86364	0.82387	0.968184	2432	0	-4.1488
Plxdc1	20	0.0041477	0.029424	0.731199	107	8	-3.5678	0.92937	0.90388	0.98299	2625	0	-3.5678
Lmbrd2	20	0.0041597	0.029507	0.731199	108	14	-4.3765	0.59794	0.5361	0.911968	1660	0	-4.3765
Gm5150	18	0.0041743	0.028904	0.731199	109	12	-4.384	0.39011	0.34471	0.890629	1106	0	-4.384
Serinc2	19	0.0042129	0.029265	0.731199	110	10	-3.9158	0.020177	0.023209	0.863331	53	0	-3.9158
Il2rb	20	0.0042521	0.03002	0.731199	111	14	-4.0965	0.87174	0.83572	0.97237	2447	0	-4.0965
Olfr202	20	0.0042936	0.030127	0.731199	112	12	-4.0623	0.75059	0.69361	0.936914	2103	0	-4.0623
Gabra4	19	0.0043514	0.030432	0.731199	113	8	-3.5512	0.67476	0.6087	0.920871	1872	0	-3.5512
Fap	20	0.0043656	0.030439	0.731199	114	12	-4.0137	0.4816	0.42006	0.890629	1334	0	-4.0137
Gpc5	20	0.0043687	0.030484	0.731199	115	14	-4.5073	0.94424	0.92455	0.988044	2672	0	-4.5073
Cdh4	20	0.0043841	0.030526	0.731199	116	14	-4.2745	0.54501	0.49311	0.911968	1529	0	-4.2745
Upk1a	18	0.0044491	0.030557	0.731199	117	12	-4.3063	0.85482	0.81505	0.966496	2403	0	-4.3063
Olfr1217	20	0.0044584	0.030921	0.731199	118	13	-4.3708	0.0058023	0.0041	0.455255	18	0	-4.3708
Ror1	20	0.0044788	0.031073	0.731199	119	9	-3.821	0.071278	0.063944	0.890629	204	0	-3.821
Mep1b	20	0.0045238	0.031447	0.731199	120	13	-4.2929	0.81943	0.77728	0.963766	2306	0	-4.2929
Abcg4	20	0.0045354	0.031468	0.731199	121	11	-4.4777	0.14819	0.16436	0.890629	407	0	-4.4777
Gjb3	20	0.0045613	0.031515	0.731199	122	12	-4.2034	0.050924	0.046947	0.863331	145	0	-4.2034
Slc41a1	20	0.0045957	0.031788	0.731199	123	14	-4.4248	0.77013	0.71011	0.940883	2158	0	-4.4248
Gja4	17	0.0046184	0.030997	0.731199	124	14	-4.323	0.90594	0.87982	0.97732	2556	0	-4.323
Ecscr	20	0.0047679	0.032717	0.731199	125	12	-4.3557	0.98984	0.98343	0.995265	2822	0	-4.3557
Sv2c	20	0.0048099	0.033037	0.731199	126	7	-3.4296	0.12183	0.12067	0.890629	336	0	-3.4296
Amigo1	20	0.0048105	0.033072	0.731199	127	14	-4.3431	0.69343	0.62508	0.920871	1939	0	-4.3431
Slc6a18	20	0.0048482	0.033346	0.731199	128	11	-4.0323	0.66705	0.59359	0.918006	1847	0	-4.0323
Pkd1	20	0.0048614	0.033365	0.731199	129	13	-4.3041	0.25853	0.26354	0.890629	735	0	-4.3041
Gldn	18	0.0048714	0.033259	0.731199	130	10	-3.9287	0.24594	0.25209	0.890629	685	0	-3.9287
Il17rb	20	0.0049004	0.033515	0.731199	131	13	-4.4353	0.36392	0.33433	0.890629	1043	0	-4.4353
Tmem204	20	0.0050364	0.034733	0.751768	132	13	-4.5193	0.99629	0.99362	0.997746	2844	0	-4.5193
Trpv4	20	0.0050792	0.034984	0.751768	133	16	-4.3772	0.69343	0.62508	0.920871	1915	0	-4.3772
Hrh1	20	0.0051522	0.035452	0.756133	134	13	-4.2638	0.43906	0.39569	0.890629	1250	0	-4.2638
Lypd2	19	0.0053493	0.03636	0.769747	135	10	-4.2516	0.38578	0.34867	0.890629	1102	0	-4.2516
