id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Gpr22	19	0.70681	0.95296	1.0	2662	8	-3.5565	0.16893	0.15935	0.859701	476	0	-3.5565
Tas2r125	19	0.70784	0.95319	1.0	2663	8	-3.774	0.7012	0.63518	0.910402	1957	0	-3.774
Olfr1459	20	0.70792	0.95472	1.0	2664	5	-3.2965	0.48999	0.4163	0.864664	1376	0	-3.2965
Olfr788	20	0.70871	0.95501	1.0	2665	9	-3.5563	0.054241	0.038977	0.691901	148	0	-3.5563
P2ry10	18	0.7089	0.95182	1.0	2666	6	-3.3291	0.50842	0.44997	0.876632	1421	0	-3.3291
Olfr484	20	0.71017	0.95553	1.0	2667	8	-3.4208	0.30301	0.28716	0.859701	861	0	-3.4208
Olfr926	18	0.7104	0.95247	1.0	2668	6	-3.2001	0.69512	0.62804	0.908376	1954	0	-3.2001
Tnfsf18	20	0.71103	0.95573	1.0	2669	9	-3.6943	0.88588	0.84568	0.964081	2505	0	-3.6943
Gml2	19	0.71166	0.95431	1.0	2670	7	-3.5728	0.29031	0.27555	0.859701	819	0	-3.5728
Dcstamp	20	0.71297	0.9564	1.0	2671	9	-3.6428	0.91094	0.87867	0.971091	2586	0	-3.6428
Adam23	20	0.71297	0.9564	1.0	2672	9	-3.5997	0.80857	0.74898	0.94009	2282	0	-3.5997
Olfr1189	20	0.71426	0.95699	1.0	2673	7	-3.5843	0.017965	0.011808	0.592062	51	0	-3.5843
Olfr1137	19	0.71878	0.95644	1.0	2674	8	-3.7496	0.94868	0.93058	0.985767	2697	0	-3.7496
Cd9	20	0.72025	0.95865	1.0	2675	9	-3.6257	0.73868	0.66927	0.921069	2071	0	-3.6257
Olfr76	20	0.72025	0.95875	1.0	2676	5	-3.409	0.52942	0.46351	0.886569	1496	0	-3.409
Cd33	20	0.72164	0.95898	1.0	2677	7	-3.5166	0.42389	0.365	0.859701	1207	0	-3.5166
Slc37a4	20	0.72194	0.95926	1.0	2678	9	-3.6023	0.32417	0.30044	0.859701	924	0	-3.6023
Olfr429	20	0.72215	0.95942	1.0	2679	9	-3.6586	0.22935	0.21836	0.859701	643	0	-3.6586
Gm49368	2	0.72286	0.72986	1.0	2680	1	-3.3656	0.24	0.21605	0.859701	684	0	-3.3656
Olfr678	19	0.72316	0.95771	1.0	2681	7	-3.4772	0.50155	0.4308	0.86643	1413	0	-3.4772
Olfr301	19	0.72316	0.95771	1.0	2682	5	-3.5984	0.23679	0.23248	0.859701	660	0	-3.5984
Cd86	20	0.72341	0.95973	1.0	2683	6	-3.5585	0.42389	0.365	0.859701	1208	0	-3.5585
Vcam1	20	0.72402	0.95981	1.0	2684	6	-3.4845	0.53747	0.47557	0.893018	1512	0	-3.4845
Psg27	18	0.72528	0.95775	1.0	2685	7	-3.5126	0.32638	0.29215	0.859701	939	0	-3.5126
Cd47	18	0.72559	0.95789	1.0	2686	7	-3.2565	0.082896	0.072054	0.803873	236	0	-3.2565
Atp1b3	18	0.72559	0.95789	1.0	2687	7	-3.3997	0.31757	0.2882	0.859701	894	0	-3.3997
Olfr307	19	0.72583	0.95819	1.0	2688	8	-3.7255	0.68437	0.60556	0.899961	1909	0	-3.7255
Tmem9	18	0.72955	0.95906	1.0	2689	8	-3.7405	0.32638	0.29215	0.859701	937	0	-3.7405
Slc35f4	20	0.72994	0.96154	1.0	2690	7	-3.6174	0.92118	0.89243	0.975355	2613	0	-3.6174
Muc15	20	0.73297	0.9627	1.0	2691	8	-3.3407	0.054241	0.038977	0.691901	153	0	-3.3407
Olfr487	20	0.73297	0.9627	1.0	2692	8	-3.4367	0.18468	0.17743	0.859701	518	0	-3.4367
Olfr1246	20	0.73348	0.96292	1.0	2693	5	-3.3076	0.44999	0.39183	0.86208	1292	0	-3.3076
Tmem154	18	0.73359	0.95993	1.0	2694	5	-3.1958	0.23451	0.23004	0.859701	656	0	-3.1958
Olfr878	20	0.73428	0.96319	1.0	2695	8	-3.6972	0.013708	0.0098282	0.592062	35	0	-3.6972
Olfr38	20	0.73494	0.96327	1.0	2696	8	-3.777	0.013708	0.0098282	0.592062	36	0	-3.777
Il1rapl1	20	0.73527	0.96344	1.0	2697	7	-3.6606	0.38321	0.34119	0.859701	1091	0	-3.6606
Tas2r108	20	0.73534	0.96361	1.0	2698	9	-3.7044	0.054241	0.038977	0.691901	149	0	-3.7044
Tmigd1	18	0.73693	0.96108	1.0	2699	6	-3.4172	0.42558	0.3666	0.859701	1217	0	-3.4172
Fpr-rs6	20	0.73696	0.96418	1.0	2700	8	-3.5259	0.5005	0.42702	0.86643	1393	0	-3.5259
Slc29a1	20	0.74007	0.96484	1.0	2701	7	-3.156	0.48231	0.41025	0.864664	1346	0	-3.156
Olfr918	20	0.7415	0.96524	1.0	2702	9	-3.7222	0.78149	0.72043	0.929989	2218	0	-3.7222
Olfr11	20	0.74162	0.96536	1.0	2703	7	-3.4472	0.55412	0.49492	0.893438	1554	0	-3.4472
Sgce	20	0.74309	0.96571	1.0	2704	5	-3.4907	0.41327	0.35718	0.859701	1166	0	-3.4907
