id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Ceacam3	18	0.069929	0.28215	0.946727	865	9	-3.9172	0.59867	0.53227	0.90617	1665	0	-3.9172
Plxna4	20	0.070036	0.29235	0.952525	866	12	-4.2012	0.72899	0.66643	0.929375	2045	0	-4.2012
Olfr552	20	0.070551	0.29327	0.952525	867	10	-3.9244	0.35914	0.32587	0.882295	1033	0	-3.9244
Olfr1269	16	0.070623	0.27622	0.946727	868	10	-4.294	0.0070252	0.0093588	0.854381	20	0	-4.294
Olfr641	20	0.070772	0.29417	0.952525	869	12	-4.2051	0.80505	0.75102	0.949324	2261	0	-4.2051
Adra2b	20	0.070772	0.29417	0.952525	870	13	-4.1645	0.33146	0.31022	0.882295	941	0	-4.1645
H2-M10.6	20	0.070772	0.29417	0.952525	871	13	-4.162	0.15728	0.16058	0.882295	443	0	-4.162
Cdh17	20	0.071235	0.29603	0.952525	872	13	-4.1965	0.55758	0.50558	0.90617	1570	0	-4.1965
Kel	19	0.071318	0.29226	0.952525	873	7	-3.6	0.76703	0.71184	0.940132	2152	0	-3.6
Kir3dl1	20	0.071421	0.29657	0.952525	874	11	-3.8838	0.50452	0.4411	0.894091	1403	0	-3.8838
Epor	20	0.07145	0.29684	0.952525	875	9	-3.8611	0.064748	0.059995	0.879609	186	0	-3.8611
Olfr453	20	0.071529	0.29721	0.952525	876	12	-3.9735	0.82154	0.77817	0.960285	2303	0	-3.9735
Pcdhac2	17	0.071551	0.28717	0.946727	877	11	-4.2124	0.22861	0.23264	0.882295	635	0	-4.2124
Olfr308	20	0.071557	0.29752	0.952525	878	7	-3.4767	0.35914	0.32587	0.882295	1032	0	-3.4767
H2-DMb2	20	0.07163	0.29796	0.952525	879	8	-3.7808	0.5237	0.47011	0.90617	1468	0	-3.7808
Olfr452	20	0.071856	0.29812	0.952525	880	10	-3.746	0.62106	0.55482	0.90617	1732	0	-3.746
Fpr-rs3	20	0.071871	0.29813	0.952525	881	11	-3.9422	0.0048099	1.7322e-06	0.00033	15	0	-3.9422
Slc6a6	20	0.072053	0.29819	0.952525	882	10	-3.9365	0.79396	0.73839	0.946427	2230	0	-3.9365
Epha7	20	0.072127	0.29819	0.952525	883	11	-4.0148	0.94756	0.92915	0.989391	2685	0	-4.0148
Atp2b2	20	0.072152	0.29819	0.952525	884	11	-3.9215	0.91918	0.89188	0.97874	2604	0	-3.9215
Ano5	20	0.072405	0.30095	0.952525	885	12	-4.1813	0.9167	0.88823	0.977873	2591	0	-4.1813
Olfr449	20	0.072474	0.30153	0.952525	886	11	-3.9674	0.50452	0.4411	0.894091	1405	0	-3.9674
Slc18a2	18	0.072643	0.28851	0.946727	887	11	-4.2565	0.60792	0.53752	0.90617	1693	0	-4.2565
Lrrc4c	20	0.07281	0.30231	0.952525	888	9	-3.6779	0.90876	0.87873	0.975309	2574	0	-3.6779
Itgb2l	20	0.073051	0.30249	0.952525	889	10	-3.8797	0.46193	0.40528	0.888268	1294	0	-3.8797
Gpr141	20	0.073051	0.30249	0.952525	890	9	-3.7948	0.19706	0.1972	0.882295	557	0	-3.7948
Gjb5	19	0.07343	0.29816	0.952525	891	12	-4.1625	0.7829	0.72867	0.941902	2206	0	-4.1625
Apcdd1	20	0.073498	0.3047	0.952525	892	10	-3.9687	0.49523	0.43411	0.893868	1373	0	-3.9687
Gipr	20	0.073498	0.3047	0.952525	893	12	-4.051	0.90577	0.8756	0.975309	2566	0	-4.051
Olfr151	20	0.073589	0.30494	0.952525	894	11	-4.2395	0.35914	0.32587	0.882295	1020	0	-4.2395
Ntrk2	20	0.073589	0.30494	0.952525	895	12	-4.1442	0.56878	0.51189	0.90617	1602	0	-4.1442
Esyt3	20	0.074008	0.30518	0.952525	896	11	-4.0189	0.51382	0.45342	0.89833	1438	0	-4.0189
Olfr78	20	0.074302	0.30573	0.952525	897	13	-4.0178	0.37709	0.34388	0.882295	1073	0	-4.0178
Olfr195	20	0.074322	0.30599	0.952525	898	9	-3.6809	0.080685	0.078752	0.879609	229	0	-3.6809
Fcgr4	16	0.074644	0.28724	0.946727	899	11	-4.0517	0.97234	0.95822	0.992386	2766	0	-4.0517
Slc39a4	20	0.074695	0.3069	0.952525	900	11	-4.2057	0.55758	0.50558	0.90617	1559	0	-4.2057
Mertk	20	0.074836	0.30701	0.952525	901	7	-3.725	0.43424	0.38797	0.882295	1223	0	-3.725
Pcdhga7	18	0.074866	0.29514	0.952525	902	11	-4.0945	0.062838	0.059896	0.879609	176	0	-4.0945
Tspan2	18	0.075192	0.29578	0.952525	903	10	-3.9432	0.16333	0.16532	0.882295	456	0	-3.9432
Slc7a5	19	0.075197	0.30289	0.952525	904	10	-3.878	0.89145	0.86084	0.973581	2515	0	-3.878
Slc46a2	20	0.075453	0.3081	0.952525	905	9	-3.757	0.15728	0.16058	0.882295	437	0	-3.757
Gucy2c	20	0.075644	0.30852	0.952525	906	12	-3.9681	0.92214	0.89518	0.97874	2609	0	-3.9681
Cdh23	20	0.07569	0.30881	0.952525	907	13	-3.9996	0.59308	0.53007	0.90617	1647	0	-3.9996
Ntng2	19	0.075698	0.30391	0.952525	908	10	-3.985	0.69695	0.63674	0.922816	1943	0	-3.985
Gpr18	20	0.075746	0.30937	0.952525	909	12	-4.2217	0.68019	0.61042	0.910668	1902	0	-4.2217
Cdhr2	20	0.075762	0.30945	0.952525	910	11	-4.1137	0.80505	0.75102	0.949324	2265	0	-4.1137
Olfr1234	20	0.075804	0.30953	0.952525	911	8	-3.5335	0.37709	0.34388	0.882295	1087	0	-3.5335
Gpa33	20	0.075973	0.30968	0.952525	912	13	-4.1629	0.53169	0.48004	0.90617	1492	0	-4.1629
Olfr1047	20	0.076164	0.31003	0.952525	913	9	-3.6096	0.70718	0.63959	0.922816	1977	0	-3.6096
Tacr2	20	0.076173	0.31053	0.952525	914	10	-3.8674	0.53169	0.48004	0.90617	1500	0	-3.8674
Slc52a3	20	0.076547	0.31088	0.952525	915	13	-4.2069	0.91172	0.88166	0.975909	2586	0	-4.2069
Dcbld1	18	0.076657	0.303	0.952525	916	6	-3.4935	0.37502	0.3303	0.882295	1065	0	-3.4935
Slc22a29	20	0.076694	0.31136	0.952525	917	13	-4.1689	0.88913	0.85574	0.973581	2507	0	-4.1689
Islr2	20	0.076756	0.3117	0.952525	918	10	-3.7951	0.33146	0.31022	0.882295	958	0	-3.7951
Ptprt	20	0.076921	0.31197	0.952525	919	12	-4.0478	0.67514	0.60642	0.910668	1885	0	-4.0478
Efna3	20	0.077094	0.31229	0.952525	920	12	-4.211	0.14848	0.15732	0.882295	418	0	-4.211
Chrnb1	20	0.077303	0.31309	0.952525	921	12	-4.1671	0.45422	0.40282	0.888268	1290	0	-4.1671
Shisa8	18	0.077349	0.30414	0.952525	922	8	-3.7413	0.27319	0.26571	0.882295	776	0	-3.7413
Ffar2	18	0.077504	0.30441	0.952525	923	10	-4.172	0.30399	0.28423	0.882295	852	0	-4.172
Slc29a2	20	0.077737	0.31345	0.952525	924	11	-4.1528	0.68814	0.61532	0.910668	1924	0	-4.1528
Umod	20	0.077848	0.31392	0.952525	925	10	-3.8338	0.29851	0.29006	0.882295	842	0	-3.8338
Fndc9	17	0.077953	0.3057	0.952525	926	9	-4.1425	0.75653	0.70414	0.938201	2118	0	-4.1425
Npc1l1	20	0.077985	0.31434	0.952525	927	12	-4.0293	0.94423	0.92469	0.986842	2675	0	-4.0293
Tnfrsf18	20	0.078098	0.3145	0.952525	928	11	-4.1823	0.3961	0.35467	0.882295	1140	0	-4.1823
Tmx4	18	0.078197	0.30659	0.952525	929	10	-3.977	0.2403	0.24405	0.882295	667	0	-3.977
Cdh6	20	0.078226	0.31488	0.952525	930	9	-3.844	0.84281	0.79903	0.961935	2369	0	-3.844
