id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Pcdhb18	20	0.20243	0.57685	1.0	1620	8	-3.8192	0.69826	0.62129	0.906861	1960	0	-3.8192
Icosl	19	0.20259	0.57673	1.0	1621	7	-3.7011	0.12687	0.13054	0.866293	359	0	-3.7011
Olfr1262	18	0.20259	0.56684	1.0	1622	9	-3.6844	0.20589	0.19953	0.866293	589	0	-3.6844
Dner	20	0.20265	0.57736	1.0	1623	12	-4.0345	0.90019	0.86765	0.973615	2542	0	-4.0345
Nkain3	20	0.20265	0.57736	1.0	1624	12	-3.9717	0.92493	0.89694	0.97879	2613	0	-3.9717
Chrnb2	20	0.20356	0.58026	1.0	1625	11	-4.0597	0.17809	0.17421	0.866293	502	0	-4.0597
Olfr90	17	0.20373	0.56408	1.0	1626	10	-3.9703	0.77473	0.7266	0.938799	2174	0	-3.9703
Tbxa2r	18	0.20408	0.56869	1.0	1627	9	-3.8935	0.53065	0.47002	0.896706	1485	0	-3.8935
Fpr-rs7	20	0.20414	0.58267	1.0	1628	8	-3.6449	0.49445	0.42222	0.86939	1373	0	-3.6449
Olfr1122	18	0.20456	0.56981	1.0	1629	10	-3.8571	0.42682	0.36639	0.866293	1217	0	-3.8571
Cdh26	20	0.20478	0.58284	1.0	1630	10	-3.892	0.53963	0.48021	0.896706	1509	0	-3.892
Ptgfr	20	0.20521	0.58335	1.0	1631	12	-3.9898	0.11298	0.098748	0.837456	320	0	-3.9898
Slc15a2	20	0.20553	0.58371	1.0	1632	10	-3.883	0.66851	0.59175	0.905623	1859	0	-3.883
Ttyh2	20	0.20555	0.58418	1.0	1633	8	-3.8358	0.31749	0.29769	0.866293	887	0	-3.8358
Olfr1161	20	0.20565	0.58418	1.0	1634	5	-3.5079	0.65467	0.5762	0.899395	1830	0	-3.5079
Klrb1a	16	0.20586	0.5622	1.0	1635	6	-3.5087	0.30585	0.27472	0.866293	856	0	-3.5087
Clec1a	20	0.20592	0.58538	1.0	1636	8	-3.6856	0.62067	0.54954	0.899395	1733	0	-3.6856
Folr1	20	0.20632	0.58577	1.0	1637	8	-3.7702	0.93612	0.91446	0.984375	2652	0	-3.7702
Olfr414	16	0.20645	0.56374	1.0	1638	10	-3.9501	0.25386	0.23958	0.866293	724	0	-3.9501
Met	19	0.20694	0.5833	1.0	1639	10	-4.0972	0.26714	0.25898	0.866293	756	0	-4.0972
Pcdh11x	20	0.20698	0.586	1.0	1640	10	-3.9236	0.60659	0.5293	0.896706	1686	0	-3.9236
Pttg1ip	18	0.2074	0.57491	1.0	1641	9	-3.8858	0.79768	0.75253	0.950388	2233	0	-3.8858
Evi2b	4	0.2076	0.40112	0.977245	1642	1	-3.2457	0.16447	0.13749	0.866293	475	0	-3.2457
Heg1	20	0.20797	0.58684	1.0	1643	11	-4.0051	0.48364	0.41142	0.867081	1339	0	-4.0051
Vnn1	20	0.20809	0.58703	1.0	1644	10	-3.791	0.69826	0.62129	0.906861	1962	0	-3.791
Ephb4	20	0.2086	0.58753	1.0	1645	12	-3.8812	0.82135	0.77563	0.957151	2306	0	-3.8812
Gm21973	13	0.20894	0.54658	1.0	1646	7	-3.8012	0.71602	0.6605	0.924572	2009	0	-3.8012
Fat4	20	0.20925	0.58776	1.0	1647	8	-3.4793	0.33902	0.31168	0.866293	966	0	-3.4793
Lingo2	18	0.20929	0.57843	1.0	1648	9	-3.8469	0.41916	0.36398	0.866293	1193	0	-3.8469
Pcdhb11	20	0.20954	0.58791	1.0	1649	9	-3.3336	0.39445	0.34661	0.866293	1134	0	-3.3336
Itgb4	20	0.2096	0.58833	1.0	1650	12	-3.9504	0.39445	0.34661	0.866293	1117	0	-3.9504
Gm37388	19	0.21018	0.58687	1.0	1651	11	-4.0691	0.89122	0.85883	0.971926	2514	0	-4.0691
Cadm3	20	0.21042	0.59021	1.0	1652	11	-4.0406	0.25023	0.24514	0.866293	704	0	-4.0406
Slc6a8	17	0.21046	0.57178	1.0	1653	10	-4.0171	0.29667	0.27324	0.866293	847	0	-4.0171
Tmem30a	20	0.21058	0.59086	1.0	1654	8	-3.6272	0.068329	0.058147	0.813139	196	0	-3.6272
Hyal2	20	0.2114	0.59184	1.0	1655	8	-3.6821	0.70677	0.63534	0.917888	1976	0	-3.6821
Tlr6	20	0.2115	0.59184	1.0	1656	7	-3.6877	0.72267	0.65809	0.924572	2014	0	-3.6877
Ptprd	19	0.21167	0.58841	1.0	1657	8	-3.7925	0.37907	0.333	0.866293	1090	0	-3.7925
