,sgRNA,gene,z_scored_sgRNA_lfc
17907,Vienna_GABPA_1-Vienna_GABPA_4,GABPA,-9.11786738885089
17908,Vienna_GABPA_2-Vienna_GABPA_5,GABPA,-6.71037755474375
17909,Vienna_GABPA_3-Vienna_GABPA_6,GABPA,-8.705771225854942
17910,Vienna_GABPB1_1-Vienna_GABPB1_4,GABPB1,-6.89496283597651
17911,Vienna_GABPB1_2-Vienna_GABPB1_5,GABPB1,-7.603559427351085
17912,Vienna_GABPB1_3-Vienna_GABPB1_6,GABPB1,-8.308688340488008
17913,Vienna_GABPB2_1-Vienna_GABPB2_4,GABPB2,-3.6581700457390074
17914,Vienna_GABPB2_2-Vienna_GABPB2_5,GABPB2,-0.12559480975294696
17915,Vienna_GABPB2_3-Vienna_GABPB2_6,GABPB2,-3.9937861395968217
17916,Vienna_GABRA1_1-Vienna_GABRA1_4,GABRA1,-0.6157355613380894
17917,Vienna_GABRA1_2-Vienna_GABRA1_5,GABRA1,-1.8793972590192414
17918,Vienna_GABRA1_3-Vienna_GABRA1_6,GABRA1,-0.8744889983327687
17919,Vienna_GABRA2_1-Vienna_GABRA2_4,GABRA2,0.6153072977178473
17920,Vienna_GABRA2_2-Vienna_GABRA2_5,GABRA2,-1.9299317464795955
17921,Vienna_GABRA2_3-Vienna_GABRA2_6,GABRA2,-1.4430305552920697
17922,Vienna_GABRA3_1-Vienna_GABRA3_4,GABRA3,0.26010536117341737
17923,Vienna_GABRA3_2-Vienna_GABRA3_5,GABRA3,0.3910620113851394
17924,Vienna_GABRA3_3-Vienna_GABRA3_6,GABRA3,-0.2756117971553634
17925,Vienna_GABRA4_1-Vienna_GABRA4_4,GABRA4,-0.4487776822423757
17926,Vienna_GABRA4_2-Vienna_GABRA4_5,GABRA4,-2.1080958031062424
17927,Vienna_GABRA4_3-Vienna_GABRA4_6,GABRA4,-0.307550393739447
17928,Vienna_GABRA5_1-Vienna_GABRA5_4,GABRA5,-2.346052681148781
17929,Vienna_GABRA5_2-Vienna_GABRA5_5,GABRA5,-1.494852540227073
17930,Vienna_GABRA5_3-Vienna_GABRA5_6,GABRA5,-2.8757860097601102
17931,Vienna_GABRA6_1-Vienna_GABRA6_4,GABRA6,-1.3051020755642397
17932,Vienna_GABRA6_2-Vienna_GABRA6_5,GABRA6,-1.236775891323887
17933,Vienna_GABRA6_3-Vienna_GABRA6_6,GABRA6,-0.41142519721901855
17934,Vienna_GABRB1_1-Vienna_GABRB1_4,GABRB1,-0.164792953864237
17935,Vienna_GABRB1_2-Vienna_GABRB1_5,GABRB1,-0.5199752707323707
17936,Vienna_GABRB1_3-Vienna_GABRB1_6,GABRB1,-1.117923050650187
17937,Vienna_GABRB2_1-Vienna_GABRB2_4,GABRB2,-1.568589451077911
17938,Vienna_GABRB2_2-Vienna_GABRB2_5,GABRB2,-0.3766631559326711
17939,Vienna_GABRB2_3-Vienna_GABRB2_6,GABRB2,-1.3338173162688591
17940,Vienna_GABRB3_1-Vienna_GABRB3_4,GABRB3,-0.9962297245359044
17941,Vienna_GABRB3_2-Vienna_GABRB3_5,GABRB3,-1.2920355210358143
17942,Vienna_GABRB3_3-Vienna_GABRB3_6,GABRB3,-1.2636856188750811
17943,Vienna_GABRD_1-Vienna_GABRD_4,GABRD,-2.1295101072793687
17944,Vienna_GABRD_2-Vienna_GABRD_5,GABRD,-0.5718733649267461
17945,Vienna_GABRD_3-Vienna_GABRD_6,GABRD,-2.820165569877537
17946,Vienna_GABRE_1-Vienna_GABRE_4,GABRE,1.2412953866405245
17947,Vienna_GABRE_2-Vienna_GABRE_5,GABRE,-0.8261295038241914
17948,Vienna_GABRE_3-Vienna_GABRE_6,GABRE,-2.295595062779609
17949,Vienna_GABRG1_1-Vienna_GABRG1_4,GABRG1,-0.5186827597418301
17950,Vienna_GABRG1_2-Vienna_GABRG1_5,GABRG1,-0.08677490466674534
17951,Vienna_GABRG1_3-Vienna_GABRG1_6,GABRG1,-2.462153950650549
17952,Vienna_GABRG2_1-Vienna_GABRG2_4,GABRG2,-1.3947979098528938
17953,Vienna_GABRG2_2-Vienna_GABRG2_5,GABRG2,1.1024712729910857
17954,Vienna_GABRG2_3-Vienna_GABRG2_6,GABRG2,-0.34223223499243666
17955,Vienna_GABRG3_1-Vienna_GABRG3_4,GABRG3,-1.2359380327136253
17956,Vienna_GABRG3_2-Vienna_GABRG3_5,GABRG3,-1.8437199992269246
17957,Vienna_GABRP_1-Vienna_GABRP_4,GABRP,-2.780517727034133
17958,Vienna_GABRP_2-Vienna_GABRP_5,GABRP,-2.563403606125195
17959,Vienna_GABRP_3-Vienna_GABRP_6,GABRP,-1.0379005363123783
17960,Vienna_GABRQ_1-Vienna_GABRQ_4,GABRQ,0.3099572941845935
17961,Vienna_GABRQ_2-Vienna_GABRQ_5,GABRQ,-2.7041833991128477
17962,Vienna_GABRQ_3-Vienna_GABRQ_6,GABRQ,-1.5157571875451321
17963,Vienna_GABRR1_1-Vienna_GABRR1_4,GABRR1,0.5204400547491953
17964,Vienna_GABRR1_2-Vienna_GABRR1_5,GABRR1,-0.596153241857066
17965,Vienna_GABRR1_3-Vienna_GABRR1_6,GABRR1,-1.1208006183796275
17966,Vienna_GABRR2_1-Vienna_GABRR2_4,GABRR2,-1.0246308115963407
17967,Vienna_GABRR3_1-Vienna_GABRR3_4,GABRR3,0.5324011410104903
17968,Vienna_GABRR3_2-Vienna_GABRR3_5,GABRR3,-1.4240085965492983
17969,Vienna_GABRR3_3-Vienna_GABRR3_6,GABRR3,0.8898443549126681
17970,Vienna_GAD1_1-Vienna_GAD1_4,GAD1,-0.7149756284996046
