sgRNA	gene	vienna_v1_single_top3	TECHDEV0012_Vienna_01_01_17	TECHDEV0012_Vienna_01_01_16
Vienna-ABCG1-1	ABCG1	109	790	921
Vienna-ABCG1-2	ABCG1	69	864	833
Vienna-ABCG1-3	ABCG1	74	735	474
Vienna-ABCG2-1	ABCG2	100	839	591
Vienna-ABCG2-2	ABCG2	48	237	272
Vienna-ABCG2-3	ABCG2	73	335	511
Vienna-ABCG4-1	ABCG4	94	345	322
Vienna-ABCG4-2	ABCG4	72	191	50
Vienna-ABCG4-3	ABCG4	79	652	342
Vienna-ABCG5-1	ABCG5	78	405	428
Vienna-ABCG5-2	ABCG5	61	460	388
Vienna-ABCG5-3	ABCG5	72	196	242
Vienna-ABCG8-1	ABCG8	105	906	769
Vienna-ABCG8-2	ABCG8	77	161	133
Vienna-ABCG8-3	ABCG8	99	511	274
Vienna-ABHD1-1	ABHD1	142	1114	532
Vienna-ABHD1-2	ABHD1	40	94	45
Vienna-ABHD1-3	ABHD1	75	504	704
Vienna-ABHD10-1	ABHD10	95	888	634
Vienna-ABHD10-2	ABHD10	105	409	484
Vienna-ABHD10-3	ABHD10	38	54	202
Vienna-ABHD11-1	ABHD11	77	334	127
Vienna-ABHD11-2	ABHD11	68	278	435
Vienna-ABHD11-3	ABHD11	56	19	0
Vienna-ABHD12-1	ABHD12	109	1176	700
Vienna-ABHD12-2	ABHD12	92	534	364
Vienna-ABHD12-3	ABHD12	64	853	454
Vienna-ABHD12B-1	ABHD12B	52	185	237
Vienna-ABHD12B-2	ABHD12B	129	832	509
Vienna-ABHD12B-3	ABHD12B	53	418	372
Vienna-ABHD13-1	ABHD13	25	187	241
Vienna-ABHD13-2	ABHD13	66	394	400
Vienna-ABHD13-3	ABHD13	74	505	373
Vienna-ABHD14A-1	ABHD14A	84	554	283
Vienna-ABHD14A-2	ABHD14A	93	863	783
Vienna-ABHD14A-3	ABHD14A	66	307	324
Vienna-ABHD14A-ACY1-1	ABHD14A-ACY1	184	1693	1456
Vienna-ABHD14A-ACY1-2	ABHD14A-ACY1	138	848	486
Vienna-ABHD14A-ACY1-3	ABHD14A-ACY1	112	882	442
Vienna-ABHD14B-1	ABHD14B	151	1143	1379
Vienna-ABHD14B-2	ABHD14B	97	774	743
Vienna-ABHD14B-3	ABHD14B	107	662	615
Vienna-ABHD15-1	ABHD15	110	46	90
Vienna-ABHD15-2	ABHD15	129	1188	641
Vienna-ABHD15-3	ABHD15	47	141	66
Vienna-ABHD16A-1	ABHD16A	52	94	128
Vienna-ABHD16A-2	ABHD16A	55	414	216
Vienna-ABHD16A-3	ABHD16A	75	491	342
Vienna-ABHD16B-1	ABHD16B	86	583	535
Vienna-ABHD16B-2	ABHD16B	72	886	588
Vienna-ABHD16B-3	ABHD16B	121	1000	868
Vienna-ABHD17A-1	ABHD17A	68	371	261
Vienna-ABHD17A-2	ABHD17A	131	1	3
