Target Gene Symbol,condition,n_sgrnas,gene_zscore,empirical_pvalue,FDR
RASA4,Jacquere A375,5,-5.116825456294251,3.3661209907617646e-06,3.460548512740983e-05
RASA3,Jacquere A375,3,1.0116119371858074,0.15410797844078858,0.31399734103969984
CACNA2D1,Jacquere A375,3,1.1094039953411752,0.1277213091214684,0.2877082111845662
RAPGEF5,Jacquere A375,3,0.39702584606279095,0.36487877617040143,0.4498496747173173
B9D2,Jacquere A375,3,-0.928931135521011,0.17103884207116762,0.3299955184988556
SLC44A1,Jacquere A375,3,1.218011423770766,0.10188763499101174,0.2560646366071631
RAPGEF4,Jacquere A375,3,-0.6406299684103366,0.24402920343689363,0.387093922992172
RAPGEF3,Jacquere A375,3,-0.023502108248879272,0.4664907470667759,0.48895806965075667
CACNA2D2,Jacquere A375,3,1.0166167229308876,0.15268872845030576,0.312925203571696
RAPGEF2,Jacquere A375,3,0.17157342383418248,0.45317718873593477,0.4838952681052637
SLC44A2,Jacquere A375,3,0.8155966714996601,0.2148111952398131,0.3686681655494908
RAPGEF1,Jacquere A375,3,-6.9186288243599865,2.1400170907718707e-26,3.474294005286023e-25
RAP2C-AS1,Jacquere A375,1,1.196417228263547,0.10672564140566117,0.26297728978330676
CACNA2D3,Jacquere A375,3,-0.5854245259894765,0.26022370990454796,0.39684396294844065
SLC44A3,Jacquere A375,3,-0.5402313431229523,0.27402529016312976,0.40618530436405526
RAP2C,Jacquere A375,3,0.9346713365640719,0.17680221227015838,0.33640298979200955
B9D1,Jacquere A375,3,1.3020886991008453,0.08447511696371518,0.23130514549566863
RAP2B,Jacquere A375,3,0.47547336551450436,0.3354566143660126,0.4380542893422591
SLC44A4,Jacquere A375,3,1.6214161805905918,0.03840656554651765,0.14736870060245172
RAP2A,Jacquere A375,3,0.6098962132115255,0.2863009098699591,0.4130278961582633
CACNA2D4,Jacquere A375,3,-1.4456473688705516,0.08637795278240579,0.23447022899959938
RAP1GDS1,Jacquere A375,3,-1.9609721206175346,0.042913724966380754,0.15809511183226935
SLC44A5,Jacquere A375,3,0.8092004733018243,0.21693787811609874,0.3700028000759987
RAPGEF6,Jacquere A375,4,-3.7230203655807306,0.002247697239000014,0.01675233147676196
SLC40A1,Jacquere A375,3,1.0055024885887984,0.15585021350264824,0.31552196167471547
SLC43A3,Jacquere A375,4,-1.7615527330909484,0.057180298202771394,0.1870657951841823
RAPH1,Jacquere A375,3,-2.7314330477157602,0.009959863432282398,0.05476505368478886
BAAT,Jacquere A375,3,-0.9428564949022799,0.16800884123603332,0.3270692232752487
RASA2,Jacquere A375,3,0.5021519024241481,0.32557809445844466,0.4331384150306035
